City,State,ZIP,ZillowID,latitude,lontitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,49815216,37.791537,-122.418539,1162,,1228636,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074217,37.791618,-122.422098,1044,,1175132,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095606638,37.799765,-122.420471,678,,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2103083219,37.783158,-122.414958,,2025,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15066196,37.798234,-122.417394,930,925000,991067,4100,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15076760,37.78587,-122.424455,897,,1240866,4800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,96011558,37.788085,-122.419586,1044,,968973,4000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2103140209,37.789845,-122.413515,319,1825,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095682469,37.790425,-122.414294,642,4200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095687336,37.794784,-122.417648,2200,1699000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096250259,37.789592,-122.42295,786,,,,66276,13.7,63.2,159.9,36.5
